"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6740","Select Dropdown Option","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","6927","checkbox Success","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","9599","Dynamic Loading Test","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","18471","SauceDemo Complete Flow","chrome","2026-02-18","passed","2026-02-18","","saucedemo\saucedemo.spec.js","",""
"","4974","Enter number in input field","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","10919","Dynamic Controls Test","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","20966","Valid Login","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","8964","Add and Remove Elements","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","6250","File Upload Test","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","2050","Count Playwright word in sidebar menu","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","5212","Right Click Context Menu","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","6362","Iframe Text Test","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","8403","Login Success","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
"","5055","Drag and Drop Test","chrome","2026-02-18","passed","2026-02-18","","internet\the-internet.spec.js","",""
